DNA1,MART1,CD207,SOX10,GZMB,CD163,CD1c,KRT14,CD3e,CD11c,CD8a,aSMA,CD20,CD68,PDL1,MITF,FOXP3,PD1,panCK,CD16,CD206,CD31,Vim,S100A,LAG3,CD56,pS6,HLA-A/B,SOX9,HLA-DPB1,PCNA,CD14,CD66b,pH3,LMNB2,Nestin,H3K27Me3,PRAME,TIGIT,TIM3,CD57,cPARP,DNA13,CD4,Ki67_2,IRF1,imageid,ROI_major_category,phenotype
8132.523,639.089,317.66547,328.5765,809.5445,623.57294,2590.178,96.07829,625.00714,2035.2242,899.1281,897.5018,790.7936,235.64413,893.23846,814.2028,189.02847,1125.4697,149.3452,790.08185,517.7082,4192.541,4950.171,1910.5623,384.82562,596.4733,108.50178,1222.3807,150.61922,643.2491,137.18149,527.7082,275.82205,102.38434,1491.3772,506.48044,459.77225,768.8861,157.46263,1328.6691,852.4413,248.58363,1073.6761,2080.6157,185.25978,314.5267,A,VGP,non_tumor
12130.888,421.25766,526.00616,417.58435,542.06287,460.33896,4051.3481,93.082825,418.09814,890.62885,770.0813,200.92485,595.8389,221.54141,836.29297,856.9724,180.55675,1090.0306,157.02454,797.5951,1342.7991,613.26996,7982.8833,1249.865,440.24078,446.35583,59.835888,600.4632,269.34048,501.52762,69.00307,386.91412,278.60736,87.92331,778.2807,444.14417,2242.2085,740.1472,156.08282,1188.2745,758.8497,232.1227,212.7224,514.2132,99.92945,275.93405,A,normal,non_tumor
16190.364,1001.3566,532.7409,1713.6361,919.63904,577.19214,2296.4832,5737.972,482.77438,350.02765,839.1674,193.05968,597.28674,211.08151,912.6856,839.6376,190.89665,1460.971,3745.348,703.64044,79.41485,328.40756,2222.0452,897.68414,379.6288,485.2329,95.423584,796.3683,235.23436,118.174675,176.86462,305.1863,270.6419,117.461426,2460.1238,389.59534,2019.2358,787.72925,150.44106,1261.46,838.93884,243.82823,1646.2926,395.2722,81.20378,286.69287,A,normal,non_tumor
4511.3984,514.0141,324.20926,366.99396,721.7767,685.07446,1008.2314,72.34809,866.05634,1255.835,1171.1409,431.1167,740.6157,247.60362,869.46075,909.3883,191.82898,1139.3802,188.87726,896.89136,1037.4587,1509.0403,3115.9355,1882.1952,442.2354,632.5493,68.97385,994.2072,230.42052,1214.3138,85.9497,2202.1287,293.1147,86.01811,1723.68,399.50906,1132.5292,820.12476,175.8833,1318.01,833.62976,241.09457,681.18915,1298.9236,87.424545,296.1308,A,VGP,non_tumor
18977.879,1022.281,632.4776,1470.9862,991.87415,650.5707,1910.2069,3121.4275,584.2828,448.69138,821.9379,190.52586,795.5483,257.6483,910.84656,1092.3672,209.06897,1443.25,1544.1655,913.7069,101.78104,333.8793,1545.0363,643.4431,457.56723,395.2862,71.30345,912.56036,302.96725,174.04828,116.63621,391.32242,316.33792,92.356895,2561.3188,463.83102,1858.3569,960.2862,186.00862,880.1138,1010.9845,273.46725,905.5052,471.87585,156.89655,292.76205,A,precursor,non_tumor
12124.262,333.77084,321.003,358.5595,665.9137,1258.3065,2861.7231,72.96429,1054.5209,2674.5566,908.4405,214.7381,713.5476,263.4762,908.2619,840.4792,201.99702,1186.9464,89.73512,1123.5923,3078.9019,523.8185,8699.768,1786.1995,457.0149,444.9732,81.85119,872.5625,207.41667,912.872,82.98214,1528.7351,283.0655,83.71726,1379.8452,462.7232,2128.6458,846.253,176.10715,1749.7916,887.0089,246.64583,841.5863,2257.9702,83.11012,298.04465,A,normal,non_tumor
5960.7344,266.2246,204.4707,286.38867,468.52734,484.06836,1242.3105,68.23828,509.33203,492.80664,1036.002,2972.4727,516.4707,205.53125,854.64453,2432.7422,233.13086,1117.9297,86.68555,769.8457,747.32227,963.6758,2660.9473,529.4629,372.10938,611.66797,90.8125,590.3125,171.94727,313.80664,104.90039,456.8496,266.63086,96.0957,1468.8906,423.08008,1933.3047,733.6113,157.27344,845.3301,817.8965,234.3086,941.3301,752.0215,75.82031,317.15625,A,VGP,non_tumor
6023.084,434.37686,511.3744,696.3744,857.064,543.3325,2389.1084,2318.4656,511.38177,356.31775,751.85223,181.35222,645.9902,216.9729,908.84485,856.4828,183.95813,1275.2217,2068.1133,758.6724,82.48522,320.04434,125.55173,624.4335,407.47537,514.4655,103.13793,1588.6774,269.89655,136.21675,141.27339,327.6478,282.26108,85.12562,1493.9064,405.2463,862.02216,794.22906,158.78325,1150.8522,904.88916,254.23645,1271.234,401.58374,119.697044,278.81033,A,precursor,non_tumor
21348.88,3542.1726,796.0312,2659.8945,1528.2399,747.15826,2399.1367,1704.3142,695.7986,566.21344,813.3789,176.72902,930.56116,278.3405,964.8537,1362.0192,244.92326,1636.8202,2615.6594,1040.4292,138.31175,376.31894,4332.8154,843.80096,511.6115,470,117.51079,977.19904,820.11993,218.5156,142.40048,421.75778,324.97842,100.85132,4046.5469,518.6978,3500.1128,1071.4341,204.66187,1524.2902,1052.1104,279.1175,988.4484,571.19904,107.93046,313.67627,A,MIS,non_tumor
26591.467,705.25275,453.7982,415.87454,1004.94,1133.529,6962.2,85.39273,2129.1763,5742.06,1253.6237,256.66727,853.4545,271.5509,920.52545,1082.2273,199.4,1275.5454,126.045456,1205.8455,7603.5273,834.9691,4743.3745,1893.8673,512.4018,807.5091,110.156364,1176.3146,285.74362,3614.0908,230.57272,2349.78,383.78363,203.78,11328.58,873.1091,8928.625,1317.2854,238.32,2679.4836,1083.1472,289.83273,734.0291,2885.1108,91.34,305.69455,A,VGP,non_tumor
